id,name,category,size,max_level,c_wood,c_stone,c_iron,c_gold,prod_res,prod_rate,store_res,store_amount,hp,dps,range,unlock,shape,color,count_base,count_growth_x10,count_cap
bastion,Bastion,special,4,40,0,0,0,0,-,0,wood|stone|iron|gold,600,2000,0,0,1,keep,gold,1,0,1
sawmill,Scierie,production,3,15,60,20,0,0,wood,120,-,0,420,0,0,1,workshop,wood,2,5,8
quarry,Carriere,production,3,15,80,10,0,0,stone,100,-,0,460,0,0,2,mine,stone,1,5,8
ironmine,Mine de fer,production,3,15,200,180,0,0,iron,60,-,0,500,0,0,5,mine,iron,1,4,6
house,Maison,production,2,15,40,20,0,0,gold,45,-,0,300,0,0,1,house,roof_red,3,8,14
mill,Moulin,production,3,15,150,90,20,0,gold,90,-,0,380,0,0,4,workshop,roof_blue,1,3,5
warehouse,Entrepot,storage,3,15,100,60,0,0,-,0,wood|stone|iron,800,500,0,0,2,store,wood_dark,1,4,6
vault,Coffre-fort,storage,2,15,150,200,50,0,-,0,gold,400,600,0,0,6,store,gold,1,2,3
barracks,Caserne,military,3,15,120,40,0,0,-,0,-,0,400,0,0,1,workshop,roof_green,1,3,4
archer_camp,Camp d archers,military,3,15,180,60,20,0,-,0,-,0,400,0,0,3,workshop,roof_green,1,2,3
forge,Forge,military,3,15,250,200,150,0,-,0,-,0,450,0,0,6,workshop,iron,1,0,1
library,Bibliotheque,special,3,15,200,150,60,0,-,0,-,0,400,0,0,9,tower,roof_blue,1,0,1
archer_tower,Tour d archers,defense,2,15,60,120,0,0,-,0,-,0,380,22,6.5,2,tower,stone,2,6,12
cannon,Canon,defense,2,15,80,180,40,0,-,0,-,0,460,38,5.5,4,cannon,iron,1,6,10
mortar,Mortier,defense,3,15,120,260,90,0,-,0,-,0,420,55,9.0,8,cannon,stone_dark,1,3,5
tesla,Tour a foudre,defense,2,15,200,300,180,0,-,0,-,0,500,70,4.5,12,tower,essence,1,2,4
wall,Mur,wall,1,15,0,25,0,0,-,0,-,0,450,0,0,3,wall,stone,25,25,300
tree,Arbre,deco,1,1,5,0,0,0,-,0,-,0,60,0,0,1,tree,leaf,20,10,100
statue,Statue,deco,2,5,0,150,40,0,-,0,-,0,300,0,0,7,statue,white,1,1,4
lumber_camp,Camp de bucherons,production,2,15,45,15,0,0,wood,70,-,0,260,0,0,3,tent,wood_dark,2,4,7
windmill,Moulin a vent,production,3,15,220,140,30,0,gold,150,-,0,420,0,0,7,windmill,roof_teal,1,3,4
orchard,Verger,production,3,15,130,40,0,0,gold,70,-,0,330,0,0,5,tent,leaf,2,4,6
gem_mine,Mine de gemmes,production,3,15,600,500,300,0,essence,4,-,0,560,0,0,12,mine,essence,1,2,3
market,Marche,production,4,15,400,260,120,0,gold,260,-,0,520,0,0,10,market,roof_orange,1,2,3
granary,Grenier,storage,3,15,90,70,0,0,-,0,wood|stone|iron,700,480,0,0,4,store,roof_orange,1,3,5
temple,Temple,special,3,15,700,900,400,0,-,0,-,0,700,0,0,14,temple,roof_purple,1,0,1
fountain,Fontaine,deco,2,5,0,90,0,0,-,0,-,0,240,0,0,5,fountain,water,1,2,4
ballista,Baliste,defense,2,15,140,110,90,0,-,0,-,0,340,46,8.0,7,cannon,wood_dark,1,4,7
bomb_tower,Tour a bombes,defense,2,15,260,320,200,0,-,0,-,0,520,62,5.0,10,tower,roof_purple,1,3,5
siege_works,Atelier de siege,military,4,15,380,300,220,0,-,0,-,0,540,0,0,9,workshop,copper,1,1,2
elite_camp,Camp d elite,military,3,15,520,380,300,0,-,0,-,0,560,0,0,12,workshop,roof_purple,1,2,3
wonder,Merveille,special,4,15,4000,5000,2500,0,-,0,-,0,1600,0,0,20,temple,gold,1,0,1
